"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.169271,0.703542,"acc032.25_28316bcb4d2d51efd700e9243571d4550e708ea8a88ae3a157500e00d1900507.csv",0.307084,0.004792,2.39858
0.204826,0.645833,"acc033.88_68d97b31454dc0ce88eaf9773d94f87cca4528ed3a47a8456f32a137a674b7e3.csv",0.483333,0.002083,2.36795
0.111945,0.75875,"acc068.75_13f956774c0d16808806d426d8680deda16c84ef5d9535ce89b00b985aa98f45.csv",0.263958,0.021875,2.401079
0.035313,0.691666,"acc086.25_89a670713b81056146261f776dc644e405a99f19c58c5af7cf7635bf3fd678a8.csv",0.089792,0.191875,2.456096
0.174236,0.710625,"acc019.50_5279c084802c3e4a30928d9db96d9798bef3bd2feb0af61c35ee657f457c422a.csv",0.313125,0.001042,2.410616
0.19434,0.659792,"acc052.50_9ad0503044d08559bc13c21dd00627df7827a00b565f0235ef617eaeffc84340.csv",0.389167,0.005,2.405985
0.142639,0.710209,"acc050.38_4bf572bc1914de47c934893c5a7ab1eea0986251388c8fff67af65b373b3ef04.csv",0.418333,0.003125,2.417589
0.147292,0.712709,"acc052.75_bf64c5d05538ce2d11167fcea62bebfc53aa2ddd5b484720510a8091b777d0cc.csv",0.429792,0.0025,2.41696
0.187917,0.614999,"acc017.75_bbe4432a9ebd78bdbcf32eb0378153b789dbf21ac4a250bb76350182e17c1bb4.csv",0.432083,0.003542,2.286684
0.104792,0.783125,"acc045.12_c6d5857d6a43d1616627a52bb3bbb9f68024d8f8b8ee80f061ce785545c3cb0d.csv",0.239583,0.01125,2.324499
0.175938,0.71,"acc059.88_047b9ca9dd01a5209a1b13e07a6c545eb3914abdd4165d557dd1949b60962b7d.csv",0.429167,0.0025,2.414476
0.22309,0.667083,"acc009.62_0d0cb9314020e789f7dfff3fdb22ac40c5eec69e319d160d3e593cb30162b9a9.csv",0.498333,0.0025,2.372636
0.041771,0.71125,"acc089.88_485aea09749032ed1f37346c82822fb05586d371ce1191040a3ce8249486e767.csv",0.093333,0.17,2.438792
0.040174,0.711459,"acc088.12_ac67dc3f4eafb58c9c4486f5004a8f86a9b10a77c9376b9ff874cbb2365c3684.csv",0.079167,0.171458,2.437441
0.128646,0.695,"acc043.00_3a3825814775650465c09f7bb94ee5d6e64dfc0b691a87b9f93350b8e3f44cca.csv",0.158125,0.005208,2.386558
0.186736,0.688958,"acc038.12_59d475ff01d5e6f5437692733f1dc6971821863a1736dfd58d347b5b2946250d.csv",0.434583,0.001667,2.389414
0.163611,0.638333,"acc052.25_680260f0088fd30ba26bd88253f51eb574f150496a44127370fd6441e8408de3.csv",0.405833,0.001458,2.393367
0.045208,0.666251,"acc079.62_de74bfdc2f398b6b8503dbb31a630d1b62f13ae845509e055d9ddb5f653c152f.csv",0.107083,0.212917,2.466717
0.043333,0.719167,"acc078.88_eb44fe0615bb207ddb375050be43597d9aaf1e491797023e8011805aa0f9773e.csv",0.092292,0.148958,2.447708
0.042222,0.73,"acc092.75_332850de42e19e076291fd2df07ad9c7a7acbe78770b1fceef0d07a4c10d5b4f.csv",0.06,0.169999,2.465884
0.171215,0.697917,"acc017.75_7c21c476f46a292a9293371fc9b799f9e7bc6ec2f671549ef72a34f036b72d72.csv",0.317709,8.33E-4,2.393401
0.033993,0.748125,"acc092.12_92e4d01fbd4b860acffb3ac3e6769ecefc1a5800579f30c2b4aa8ba0fa348d73.csv",0.062917,0.152291,2.388375
0.124757,0.716042,"acc015.50_2e882bb7f6f1ef0688934d3af09570f44838019dbda7b720dc52bce2b2809ba5.csv",0.23875,0.0,2.397701
0.180174,0.728125,"acc023.62_77e5b5bcbb8241dd75ca53ed10ccf8880aceace8d107be3d930dc1a35ef910ac.csv",0.367917,0.0,2.386024
0.172188,0.680833,"acc050.88_1c80f2423a24fdc2bff73f9690191de69bdddbbc4392d695b1200ddb281f09c4.csv",0.334583,0.005,2.388642
0.099479,0.731875,"acc073.75_c8bf01453d19cce8bf267fb2a719fd8137490437ac256f57152ed708ed0470ca.csv",0.198333,0.044375,2.323202
0.062396,0.632709,"acc072.88_93f087bb6a0f02edf15d245be31776d449c3b2fbbfe2e04650480da1975e5c4a.csv",0.149583,0.179582,2.441136
0.042222,0.73,"acc096.00_e6527b24cb59ccaec6705a53ec2cad5f59530a4d1fee7e503043f6b38a8321e6.csv",0.06,0.169999,2.466301
